"","player","season","team","games","salary","inflation_adjusted_salary","war","new_contract_source","contract_term","contract_start_season","contract_end_season","year_into_contract","contract_completion_percentage","position"
"2271","Carlos Beltran",2007,"New York Mets",144,13.571,15.279,5.4,"free agency",7,2005,2012,3,0.43,"Centerfielder"
"2397","Carlos Lee",2007,"Houston Astros",162,11.5,12.947,2.3,"free agency",6,2007,2013,1,0.17,"Leftfielder, First Baseman"
"2465","Carlos Zambrano",2007,"Chicago Cubs",34,12.4,13.96,3.4,"re-signinging",5,2007,2012,1,0.2,"Pitcher"
"2729","Chase Utley",2007,"Philadelphia Phillies",132,4.786,5.388,7.8,"re-signinging",7,2007,2014,1,0.14,"Second Baseman"
"2754","Chris Carpenter",2007,"St. Louis Cardinals",1,8.5,9.569,-0.1,"re-signinging",5,2007,2011,1,0.2,"Pitcher"
"2848","Chris Young",2007,"Arizona Diamondbacks",148,0.38,0.428,0.7,"re-signinging",5,2008,2013,0,0,"Centerfielder"
"2990","Curtis Granderson",2007,"Detroit Tigers",158,0.41,0.462,7.6,"re-signinging",5,2008,2013,0,0,"Centerfielder"
"3022","Daisuke Matsuzaka",2007,"Boston Red Sox",32,6.333,7.13,4.1,"free agency",6,2007,2013,1,0.17,"Pitcher"
"3383","David DeJesus",2007,"Kansas City Royals",157,2,2.252,2.6,"re-signinging",5,2006,2011,2,0.4,"Outfielder"
"3431","David Wright",2007,"New York Mets",160,1.25,1.407,8.3,"re-signinging",6,2006,2012,2,0.33,"Third Baseman"
"3579","Derek Jeter",2007,"New York Yankees",156,21.6,24.318,3.9,"re-signinging",10,2001,2011,7,0.7,"Shortstop"
"3774","Derrek Lee",2007,"Chicago Cubs",150,13.25,14.917,3.5,"re-signinging",5,2006,2010,2,0.4,"First Baseman"
"3985","Eric Chavez",2007,"Oakland Athletics",90,9.5,10.695,2.1,"re-signinging",6,2004,2010,4,0.67,"Third Baseman"
"4104","Eric Hinske",2007,"Toronto Blue Jays",84,5.625,6.333,-0.3,"re-signinging",5,2003,2007,5,1,"Third Baseman, Pinch Hitter, Outfielder"
"4247","Gary Matthews Jr.",2007,"Los Angeles Angels of Anaheim",140,6.4,7.205,1,"free agency",5,2007,2012,1,0.2,"Outfielder"
"4301","Gil Meche",2007,"Kansas City Royals",34,7.4,8.331,4.2,"free agency",5,2007,2012,1,0.2,"Pitcher"
"4336","Grady Sizemore",2007,"Cleveland Indians",162,0.917,1.032,5.5,"re-signinging",6,2006,2011,2,0.33,"Centerfielder"
"4442","Hanley Ramirez",2007,"Florida Marlins",154,0.402,0.453,4.3,"re-signinging",6,2008,2014,0,0,"Shortstop, Third Baseman"
"4489","Ian Kinsler",2007,"Texas Rangers",130,0.391,0.44,4.1,"re-signinging",5,2008,2012,0,0,"Second Baseman"
"4573","Ichiro Suzuki",2007,"Seattle Mariners",161,12.5,14.073,5.8,"re-signinging",5,2007,2012,1,0.2,"Rightfielder"
"4684","J.D. Drew",2007,"Boston Red Sox",140,14,15.762,2.1,"free agency",5,2007,2011,1,0.2,"Rightfielder"
"5036","Jake Peavy",2007,"San Diego Padres",34,4.75,5.348,6.2,"re-signinging",5,2008,2013,0,0,"Pitcher"
"5056","Jason Giambi",2007,"New York Yankees",83,23.429,26.376,0.9,"free agency",7,2002,2009,6,0.86,"First Baseman, Designated Hitter, Leftfielder"
"5432","Jhonny Peralta",2007,"Cleveland Indians",152,1,1.126,2.7,"re-signinging",5,2006,2011,2,0.4,"Shortstop, Third Baseman"
"5538","Jim Thome",2007,"Philadelphia Phillies",130,14.833,16.7,3.6,"free agency",6,2003,2009,5,0.83,"First Baseman, Designated Hitter, Third Baseman"
"5650","Jimmy Rollins",2007,"Philadelphia Phillies",162,8,9.007,6.1,"re-signinging",5,2005,2010,3,0.6,"Shortstop"
"5720","Johan Santana",2007,"New York Mets",33,13,14.636,5,"re-signinging",6,2008,2014,0,0,"Pitcher"
"6145","Juan Pierre",2007,"Los Angeles Dodgers",162,7.5,8.444,0.9,"free agency",5,2007,2012,1,0.2,"Outfielder"
"6205","Justin Morneau",2007,"Minnesota Twins",157,4.5,5.066,2.9,"re-signinging",6,2008,2014,0,0,"First Baseman"
"6301","Kei Igawa",2007,"New York Yankees",14,4,4.503,-0.4,"free agency",5,2007,2012,1,0.2,"Pitcher"
"6689","Kevin Millwood",2007,"Texas Rangers",31,9.836,11.074,0.2,"free agency",5,2006,2011,2,0.4,"Pitcher"
"6998","Magglio Ordonez",2007,"Detroit Tigers",157,13.2,14.861,7.3,"free agency",5,2005,2010,3,0.6,"Rightfielder"
"7094","Michael Young",2007,"Texas Rangers",156,3.575,4.025,3.1,"re-signinging",5,2007,2012,1,0.2,"Shortstop, Third Baseman, Second Baseman"
"7247","Miguel Tejada",2007,"Baltimore Orioles",133,13.811,15.549,2.3,"free agency",6,2004,2010,4,0.67,"Shortstop, Third Baseman"
"7655","Nick Swisher",2007,"Oakland Athletics",150,0.4,0.45,4.3,"re-signinging",5,2007,2011,1,0.2,"Rightfielder, First Baseman"
"7941","Pat Burrell",2007,"Philadelphia Phillies",155,13.25,14.917,1.5,"free agency",6,2003,2009,5,0.83,"Leftfielder, First Baseman"
"8034","Paul Konerko",2007,"Chicago White Sox",151,12,13.51,2,"re-signinging",5,2006,2010,2,0.4,"First Baseman"
"8391","Rocco Baldelli",2007,"Tampa Bay Devil Rays",35,0.75,0.844,0.1,"re-signinging",6,2006,2012,2,0.33,"Centerfielder"
"8555","Roy Oswalt",2007,"Houston Astros",33,13,14.636,6.7,"re-signinging",5,2006,2011,2,0.4,"Pitcher"
"8990","Stephen Drew",2007,"Arizona Diamondbacks",150,1.5,1.689,0,"free agency",5,2005,2010,3,0.6,"Shortstop"
"9225","Torii Hunter",2007,"Los Angeles Angels of Anaheim",160,12,13.51,3.9,"free agency",5,2008,2012,0,0,"Centerfielder"
"9407","Troy Tulowitzki",2007,"Colorado Rockies",155,0.381,0.429,6.8,"re-signinging",6,2008,2013,0,0,"Shortstop"
"9683","Vernon Wells",2007,"Toronto Blue Jays",149,8.787,9.893,1.4,"re-signinging",7,2007,2014,1,0.14,"Centerfielder"
"9752","Victor Martinez",2007,"Cleveland Indians",147,3.2,3.603,4.3,"re-signinging",5,2005,2010,3,0.6,"Catcher, First Baseman"
"9761","Vladimir Guerrero",2007,"Anaheim Angels",150,14.5,16.324,4.6,"free agency",5,2004,2009,4,0.8,"Rightfielder"
"1","A.J. Burnett",2008,"New York Yankees",35,13.2,14.312,2.4,"free agency",5,2009,2014,0,0,"Pitcher"
"258","Aaron Rowand",2008,"San Francisco Giants",152,9.6,10.409,0.6,"free agency",5,2008,2013,1,0.2,"Centerfielder"
"357","Adrian Beltre",2008,"Seattle Mariners",143,13.4,14.529,5.5,"free agency",5,2005,2010,4,0.8,"Third Baseman"
"774","Albert Pujols",2008,"St. Louis Cardinals",148,13.871,15.039,9.2,"re-signinging",7,2004,2011,5,0.71,"First Baseman, Leftfielder, Third Baseman"
"918","Alex Rios",2008,"Toronto Blue Jays",155,4.835,5.242,5.9,"re-signinging",6,2008,2014,1,0.17,"Rightfielder"
"980","Alex Rodriguez",2008,"New York Yankees",138,28,30.359,6.8,"re-signinging",10,2008,2015,1,0.1,"Shortstop, Third Baseman"
"1308","Aramis Ramirez",2008,"Chicago Cubs",149,15,16.264,2.9,"re-signinging",5,2007,2011,2,0.4,"Third Baseman"
"1375","B.J. Ryan",2008,"Toronto Blue Jays",60,12,13.011,1.1,"free agency",5,2006,2011,3,0.6,"Pitcher"
"1524","Barry Zito",2008,"San Francisco Giants",32,14.5,15.721,-0.1,"free agency",7,2007,2013,2,0.29,"Pitcher"
"1917","Brian McCann",2008,"Atlanta Braves",145,0.967,1.048,5.5,"re-signinging",6,2007,2012,2,0.33,"Catcher"
"2041","Carl Crawford",2008,"Tampa Bay Devil Rays",109,5.375,5.828,2.5,"re-signinging",6,2005,2011,4,0.67,"Leftfielder"
"2226","Carlos Beltran",2008,"New York Mets",161,18.623,20.192,6.9,"free agency",7,2005,2012,4,0.57,"Centerfielder"
"2355","Carlos Lee",2008,"Houston Astros",115,12.5,13.553,2.7,"free agency",6,2007,2013,2,0.33,"Leftfielder, First Baseman"
"2445","Carlos Zambrano",2008,"Chicago Cubs",30,16,17.348,4.3,"re-signinging",5,2007,2012,2,0.4,"Pitcher"
"2497","CC Sabathia",2008,"New York Yankees",35,11,11.927,3.357,"free agency",7,2009,2015,0,0,"Pitcher"
"2675","Chase Utley",2008,"Philadelphia Phillies",159,7.786,8.442,9,"re-signinging",7,2007,2014,2,0.29,"Second Baseman"
"2770","Chris Carpenter",2008,"St. Louis Cardinals",4,10.5,11.384,0.4,"re-signinging",5,2007,2011,2,0.4,"Pitcher"
"2860","Chris Young",2008,"Arizona Diamondbacks",160,0.406,0.44,1.4,"re-signinging",5,2008,2013,1,0.2,"Centerfielder"
"2976","Curtis Granderson",2008,"Detroit Tigers",141,1,1.084,3.8,"re-signinging",5,2008,2013,1,0.2,"Centerfielder"
"3016","Daisuke Matsuzaka",2008,"Boston Red Sox",29,8.333,9.035,5.3,"free agency",6,2007,2013,2,0.33,"Pitcher"
"3367","David DeJesus",2008,"Kansas City Royals",135,2.5,2.711,2.2,"re-signinging",5,2006,2011,3,0.6,"Outfielder"
"3423","David Wright",2008,"New York Mets",160,5.25,5.692,6.8,"re-signinging",6,2006,2012,3,0.5,"Third Baseman"
"3630","Derek Jeter",2008,"New York Yankees",150,21.6,23.419,3,"re-signinging",10,2001,2011,8,0.8,"Shortstop"
"3788","Derrek Lee",2008,"Chicago Cubs",155,13.25,14.366,1.8,"re-signinging",5,2006,2010,3,0.6,"First Baseman"
"3943","Dustin Pedroia",2008,"Boston Red Sox",157,0.457,0.495,6.9,"re-signinging",6,2009,2014,0,0,"Second Baseman"
"4015","Eric Chavez",2008,"Oakland Athletics",23,11.5,12.469,0.2,"re-signinging",6,2004,2010,5,0.83,"Third Baseman"
"4136","Evan Longoria",2008,"Tampa Bay Rays",122,0.5,0.542,4.8,"re-signinging",6,2008,2014,1,0.17,"Third Baseman"
"4207","Gary Matthews Jr.",2008,"Los Angeles Angels of Anaheim",127,9.4,10.192,-1,"free agency",5,2007,2012,2,0.4,"Outfielder"
"4268","Gil Meche",2008,"Kansas City Royals",34,11.4,12.36,5,"free agency",5,2007,2012,2,0.4,"Pitcher"
"4320","Grady Sizemore",2008,"Cleveland Indians",157,3.167,3.433,5.9,"re-signinging",6,2006,2011,3,0.5,"Centerfielder"
"4456","Hanley Ramirez",2008,"Florida Marlins",153,0.439,0.476,6.8,"re-signinging",6,2008,2014,1,0.17,"Shortstop, Third Baseman"
"4559","Ian Kinsler",2008,"Texas Rangers",121,0.7,0.759,4.6,"re-signinging",5,2008,2012,1,0.2,"Second Baseman"
"4585","Ichiro Suzuki",2008,"Seattle Mariners",162,17.102,18.543,5.3,"re-signinging",5,2007,2012,2,0.4,"Rightfielder"
"4840","J.D. Drew",2008,"Boston Red Sox",109,14,15.179,2.6,"free agency",5,2007,2011,2,0.4,"Rightfielder"
"4996","Jake Peavy",2008,"San Diego Padres",27,6.5,7.048,3.9,"re-signinging",5,2008,2013,1,0.2,"Pitcher"
"5110","Jason Giambi",2008,"New York Yankees",145,23.429,25.402,1.9,"free agency",7,2002,2009,7,1,"First Baseman, Designated Hitter, Leftfielder"
"5370","Jeff Samardzija",2008,"Chicago Cubs",26,2,2.168,0.6,"free agency",5,2007,2012,2,0.4,"Pitcher"
"5448","Jhonny Peralta",2008,"Cleveland Indians",154,2.5,2.711,3.6,"re-signinging",5,2006,2011,3,0.6,"Shortstop, Third Baseman"
"5472","Jim Thome",2008,"Philadelphia Phillies",149,15.667,16.986,2,"free agency",6,2003,2009,6,1,"First Baseman, Designated Hitter, Third Baseman"
"5626","Jimmy Rollins",2008,"Philadelphia Phillies",137,8,8.674,5.4,"re-signinging",5,2005,2010,4,0.8,"Shortstop"
"5708","Johan Santana",2008,"New York Mets",34,16.984,18.415,7.1,"re-signinging",6,2008,2014,1,0.17,"Pitcher"
"5912","Jon Lester",2008,"Boston Red Sox",33,0.422,0.457,6.1,"re-signinging",5,2009,2013,0,0,"Pitcher"
"6157","Juan Pierre",2008,"Los Angeles Dodgers",119,8,8.674,-0.1,"free agency",5,2007,2012,2,0.4,"Outfielder"
"6221","Justin Morneau",2008,"Minnesota Twins",163,8.4,9.108,4.3,"re-signinging",6,2008,2014,1,0.17,"First Baseman"
"6306","Kei Igawa",2008,"New York Yankees",2,4,4.337,-0.2,"free agency",5,2007,2012,2,0.4,"Pitcher"
"6731","Kevin Millwood",2008,"Texas Rangers",29,10.369,11.242,0.7,"free agency",5,2006,2011,3,0.6,"Pitcher"
"6983","Magglio Ordonez",2008,"Detroit Tigers",146,15.768,17.096,2.1,"free agency",5,2005,2010,4,0.8,"Rightfielder"
"7116","Michael Young",2008,"Texas Rangers",155,6.175,6.695,3,"re-signinging",5,2007,2012,2,0.4,"Shortstop, Third Baseman, Second Baseman"
"7172","Miguel Tejada",2008,"Baltimore Orioles",158,14.811,16.059,1.9,"free agency",6,2004,2010,5,0.83,"Shortstop, Third Baseman"
"7619","Nick Markakis",2008,"Baltimore Orioles",157,0.455,0.493,7.5,"re-signinging",6,2009,2014,0,0,"Rightfielder"
"7663","Nick Swisher",2008,"Oakland Athletics",153,3.6,3.903,-0.2,"re-signinging",5,2007,2011,2,0.4,"Rightfielder, First Baseman"
"8007","Pat Burrell",2008,"Philadelphia Phillies",157,14.25,15.45,2.3,"free agency",6,2003,2009,6,1,"Leftfielder, First Baseman"
"8079","Paul Konerko",2008,"Chicago White Sox",122,12,13.011,0.9,"re-signinging",5,2006,2010,3,0.6,"First Baseman"
"8370","Rocco Baldelli",2008,"Tampa Bay Devil Rays",28,2.25,2.44,0.4,"re-signinging",6,2006,2012,3,0.5,"Centerfielder"
"8577","Roy Oswalt",2008,"Houston Astros",32,13,14.095,3.8,"re-signinging",5,2006,2011,3,0.6,"Pitcher"
"8639","Ryan Braun",2008,"Milwaukee Brewers",151,0.455,0.493,4.6,"re-signinging",7,2008,2015,1,0.14,"Leftfielder, Third Baseman"
"8725","Ryan Zimmerman",2008,"Washington Nationals",106,0.465,0.504,2.7,"re-signinging",5,2009,2013,0,0,"Third Baseman"
"8982","Stephen Drew",2008,"Arizona Diamondbacks",152,1.5,1.626,2.9,"free agency",5,2005,2010,4,0.8,"Shortstop"
"9267","Torii Hunter",2008,"Los Angeles Angels of Anaheim",146,16.5,17.89,3.4,"free agency",5,2008,2012,1,0.2,"Centerfielder"
"9395","Troy Tulowitzki",2008,"Colorado Rockies",101,0.75,0.813,0.8,"re-signinging",6,2008,2013,1,0.17,"Shortstop"
"9611","Vernon Wells",2008,"Toronto Blue Jays",108,3.688,3.998,2,"re-signinging",7,2007,2014,2,0.29,"Centerfielder"
"9716","Victor Martinez",2008,"Cleveland Indians",73,4.45,4.825,0.6,"re-signinging",5,2005,2010,4,0.8,"Catcher, First Baseman"
"9776","Vladimir Guerrero",2008,"Anaheim Angels",143,15.5,16.806,2.4,"free agency",5,2004,2009,5,1,"Rightfielder"
"197","A.J. Burnett",2009,"New York Yankees",33,16.5,17.954,4.4,"free agency",5,2009,2014,1,0.2,"Pitcher"
"236","Aaron Rowand",2009,"San Francisco Giants",144,9.6,10.446,0.9,"free agency",5,2008,2013,2,0.4,"Centerfielder"
"537","Adrian Beltre",2009,"Seattle Mariners",111,13.4,14.581,3.3,"free agency",5,2005,2010,5,1,"Third Baseman"
"750","Albert Pujols",2009,"St. Louis Cardinals",160,14.427,15.698,9.7,"re-signinging",7,2004,2011,6,0.86,"First Baseman, Leftfielder, Third Baseman"
"934","Alex Rios",2009,"Toronto Blue Jays",149,6.4,6.964,0.922,"re-signinging",6,2008,2014,2,0.33,"Rightfielder"
"1037","Alex Rodriguez",2009,"New York Yankees",124,33,35.907,4.2,"re-signinging",10,2008,2015,2,0.2,"Shortstop, Third Baseman"
"1266","Aramis Ramirez",2009,"Chicago Cubs",82,16.65,18.117,1.7,"re-signinging",5,2007,2011,3,0.6,"Third Baseman"
"1353","B.J. Ryan",2009,"Toronto Blue Jays",25,12,13.057,-0.3,"free agency",5,2006,2011,4,0.8,"Pitcher"
"1589","Barry Zito",2009,"San Francisco Giants",33,18.5,20.13,2.6,"free agency",7,2007,2013,3,0.43,"Pitcher"
"1924","Brian McCann",2009,"Atlanta Braves",138,3.7,4.026,3.2,"re-signinging",6,2007,2012,3,0.5,"Catcher"
"2141","Carl Crawford",2009,"Tampa Bay Devil Rays",156,8.25,8.977,5,"re-signinging",6,2005,2011,5,0.83,"Leftfielder"
"2241","Carlos Beltran",2009,"New York Mets",81,19.244,20.939,3.6,"free agency",7,2005,2012,5,0.71,"Centerfielder"
"2369","Carlos Lee",2009,"Houston Astros",160,19,20.674,1.8,"free agency",6,2007,2013,3,0.5,"Leftfielder, First Baseman"
"2425","Carlos Zambrano",2009,"Chicago Cubs",28,18.75,20.402,3,"re-signinging",5,2007,2012,3,0.6,"Pitcher"
"2475","CC Sabathia",2009,"New York Yankees",34,15.286,16.632,6.2,"free agency",7,2009,2015,1,0.14,"Pitcher"
"2711","Chase Utley",2009,"Philadelphia Phillies",156,11.286,12.28,8.2,"re-signinging",7,2007,2014,3,0.43,"Second Baseman"
"2802","Chris Carpenter",2009,"St. Louis Cardinals",28,13.303,14.475,6.5,"re-signinging",5,2007,2011,3,0.6,"Pitcher"
"2842","Chris Young",2009,"Arizona Diamondbacks",134,1.95,2.122,0,"re-signinging",5,2008,2013,2,0.4,"Centerfielder"
"2969","Curtis Granderson",2009,"Detroit Tigers",160,3.5,3.808,4.3,"re-signinging",5,2008,2013,2,0.4,"Centerfielder"
"3004","Daisuke Matsuzaka",2009,"Boston Red Sox",12,8.333,9.068,0.4,"free agency",6,2007,2013,3,0.5,"Pitcher"
"3399","David DeJesus",2009,"Kansas City Royals",144,3.6,3.917,2.2,"re-signinging",5,2006,2011,4,0.8,"Outfielder"
"3463","David Wright",2009,"New York Mets",144,7.75,8.433,3.2,"re-signinging",6,2006,2012,4,0.67,"Third Baseman"
"3475","Denard Span",2009,"Minnesota Twins",145,0.435,0.473,3.7,"re-signinging",5,2010,2014,0,0,"Centerfielder"
"3681","Derek Jeter",2009,"New York Yankees",153,21.6,23.503,6.6,"re-signinging",10,2001,2011,9,0.9,"Shortstop"
"3802","Derrek Lee",2009,"Chicago Cubs",141,13.25,14.417,5.4,"re-signinging",5,2006,2010,4,0.8,"First Baseman"
"3931","Dustin Pedroia",2009,"Boston Red Sox",154,1.75,1.904,5.6,"re-signinging",6,2009,2014,1,0.17,"Second Baseman"
"3970","Eric Chavez",2009,"Oakland Athletics",8,11.5,12.513,-0.5,"re-signinging",6,2004,2010,6,1,"Third Baseman"
"4146","Evan Longoria",2009,"Tampa Bay Rays",157,0.55,0.598,7.1,"re-signinging",6,2008,2014,2,0.33,"Third Baseman"
"4165","Felix Hernandez",2009,"Seattle Mariners",34,3.8,4.135,6,"re-signinging",5,2010,2014,0,0,"Pitcher"
"4237","Gary Matthews Jr.",2009,"Los Angeles Angels of Anaheim",103,10.4,11.316,-0.1,"free agency",5,2007,2012,3,0.6,"Outfielder"
"4290","Gil Meche",2009,"Kansas City Royals",23,11.4,12.404,1.1,"free agency",5,2007,2012,3,0.6,"Pitcher"
"4360","Grady Sizemore",2009,"Cleveland Indians",106,4.767,5.187,2.2,"re-signinging",6,2006,2011,4,0.67,"Centerfielder"
"4477","Hanley Ramirez",2009,"Florida Marlins",151,5.5,5.985,7.3,"re-signinging",6,2008,2014,2,0.33,"Shortstop, Third Baseman"
"4531","Ian Kinsler",2009,"Texas Rangers",144,3.2,3.482,6,"re-signinging",5,2008,2012,2,0.4,"Second Baseman"
"4621","Ichiro Suzuki",2009,"Seattle Mariners",146,18,19.586,4.7,"re-signinging",5,2007,2012,3,0.6,"Rightfielder"
"4645","J.D. Drew",2009,"Boston Red Sox",137,14,15.233,4.3,"free agency",5,2007,2011,3,0.6,"Rightfielder"
"5046","Jake Peavy",2009,"San Diego Padres",16,11,11.969,0.631,"re-signinging",5,2008,2013,2,0.4,"Pitcher"
"5354","Jeff Niemann",2009,"Tampa Bay Rays",31,1.29,1.404,2.4,"free agency",5,2005,2010,5,1,"Pitcher"
"5382","Jeff Samardzija",2009,"Chicago Cubs",20,2,2.176,-0.6,"free agency",5,2007,2012,3,0.6,"Pitcher"
"5464","Jhonny Peralta",2009,"Cleveland Indians",151,3.65,3.972,1,"re-signinging",5,2006,2011,4,0.8,"Shortstop, Third Baseman"
"5674","Jimmy Rollins",2009,"Philadelphia Phillies",155,8.5,9.249,1.7,"re-signinging",5,2005,2010,5,1,"Shortstop"
"5756","Johan Santana",2009,"New York Mets",25,18.876,20.539,3.3,"re-signinging",6,2008,2014,2,0.33,"Pitcher"
"5810","John Lackey",2009,"Boston Red Sox",27,10,10.881,1.8,"free agency",5,2010,2014,0,0,"Pitcher"
"5948","Jon Lester",2009,"Boston Red Sox",32,1,1.088,6.3,"re-signinging",5,2009,2013,1,0.2,"Pitcher"
"6169","Juan Pierre",2009,"Los Angeles Dodgers",145,10,10.881,1.2,"free agency",5,2007,2012,3,0.6,"Outfielder"
"6229","Justin Morneau",2009,"Minnesota Twins",135,11.6,12.622,3.4,"re-signinging",6,2008,2014,2,0.33,"First Baseman"
"6258","Justin Upton",2009,"Arizona Diamondbacks",138,0.412,0.448,4,"re-signinging",6,2010,2015,0,0,"Rightfielder"
"6287","Justin Verlander",2009,"Detroit Tigers",35,3.675,3.999,5.6,"re-signinging",5,2010,2019,0,0,"Pitcher"
"6395","Kendrys Morales",2009,"Los Angeles Angels of Anaheim",152,1.1,1.197,4.4,"free agency",6,2005,2011,5,0.83,"First Baseman, Designated Hitter"
"6703","Kevin Millwood",2009,"Texas Rangers",31,12.869,14.003,4.7,"free agency",5,2006,2011,4,0.8,"Pitcher"
"6953","Magglio Ordonez",2009,"Detroit Tigers",131,18.972,20.643,0.8,"free agency",5,2005,2010,5,1,"Rightfielder"
"7061","Matt Holliday",2009,"St. Louis Cardinals",156,13.5,14.689,2.658,"re-signinging",7,2010,2016,0,0,"Leftfielder"
"7149","Michael Young",2009,"Texas Rangers",135,13.055,14.205,2.8,"re-signinging",5,2007,2012,3,0.6,"Shortstop, Third Baseman, Second Baseman"
"7217","Miguel Tejada",2009,"Baltimore Orioles",158,14.811,16.116,1.9,"free agency",6,2004,2010,6,1,"Shortstop, Third Baseman"
"7633","Nick Markakis",2009,"Baltimore Orioles",161,3.35,3.645,2.9,"re-signinging",6,2009,2014,1,0.17,"Rightfielder"
"7647","Nick Swisher",2009,"Oakland Athletics",150,5.4,5.876,2,"re-signinging",5,2007,2011,3,0.6,"Rightfielder, First Baseman"
"8019","Paul Konerko",2009,"Chicago White Sox",152,12,13.057,2.1,"re-signinging",5,2006,2010,4,0.8,"First Baseman"
"8354","Ricky Romero",2009,"Toronto Blue Jays",29,0.4,0.435,2.2,"re-signinging",5,2010,2015,0,0,"Pitcher"
"8384","Rocco Baldelli",2009,"Tampa Bay Devil Rays",62,0.5,0.544,0.6,"re-signinging",6,2006,2012,4,0.67,"Centerfielder"
"8533","Roy Oswalt",2009,"Houston Astros",30,14,15.233,2.4,"re-signinging",5,2006,2011,4,0.8,"Pitcher"
"8629","Ryan Braun",2009,"Milwaukee Brewers",158,1.032,1.123,6.2,"re-signinging",7,2008,2015,2,0.29,"Leftfielder, Third Baseman"
"8663","Ryan Howard",2009,"Philadelphia Phillies",160,15,16.322,3.8,"re-signinging",5,2010,2016,0,0,"First Baseman"
"8689","Ryan Zimmerman",2009,"Washington Nationals",157,3.325,3.618,7.3,"re-signinging",5,2009,2013,1,0.2,"Third Baseman"
"9006","Stephen Drew",2009,"Arizona Diamondbacks",135,1.5,1.632,2.9,"free agency",5,2005,2010,5,1,"Shortstop"
"9253","Torii Hunter",2009,"Los Angeles Angels of Anaheim",119,18,19.586,5.3,"free agency",5,2008,2012,2,0.4,"Centerfielder"
"9431","Troy Tulowitzki",2009,"Colorado Rockies",151,1,1.088,6.5,"re-signinging",6,2008,2013,2,0.33,"Shortstop"
"9515","Vernon Wells",2009,"Toronto Blue Jays",158,4.688,5.1,0.9,"re-signinging",7,2007,2014,3,0.43,"Centerfielder"
"9743","Victor Martinez",2009,"Cleveland Indians",155,5.9,6.42,1.875,"re-signinging",5,2005,2010,5,1,"Catcher, First Baseman"
"9897","Yovani Gallardo",2009,"Milwaukee Brewers",30,0.414,0.45,2.7,"re-signinging",5,2010,2014,0,0,"Pitcher"
"113","A.J. Burnett",2010,"New York Yankees",33,16.5,17.663,-0.8,"free agency",5,2009,2014,2,0.4,"Pitcher"
"247","Aaron Rowand",2010,"San Francisco Giants",105,13.6,14.559,0.3,"free agency",5,2008,2013,3,0.6,"Centerfielder"
"507","Adrian Beltre",2010,"Texas Rangers",154,9,9.635,7.8,"free agency",5,2011,2015,0,0,"Third Baseman"
"567","Adrian Gonzalez",2010,"Boston Red Sox",160,4.875,5.219,4.3,"re-signinging",7,2011,2018,0,0,"First Baseman"
"726","Albert Pujols",2010,"St. Louis Cardinals",159,14.596,15.625,7.5,"re-signinging",7,2004,2011,7,1,"First Baseman, Leftfielder, Third Baseman"
"894","Alex Rios",2010,"Toronto Blue Jays",147,10.2,10.919,3.2,"re-signinging",6,2008,2014,3,0.5,"Rightfielder"
"942","Alex Rodriguez",2010,"New York Yankees",137,33,35.327,4.2,"re-signinging",10,2008,2015,3,0.3,"Shortstop, Third Baseman"
"1294","Aramis Ramirez",2010,"Chicago Cubs",124,16.75,17.931,-1,"re-signinging",5,2007,2011,4,0.8,"Third Baseman"
"1322","Aroldis Chapman",2010,"Cincinnati Reds",15,1,1.071,0.4,"free agency",6,2010,2015,1,0.17,"Pitcher"
"1602","Barry Zito",2010,"San Francisco Giants",34,18.5,19.804,1.5,"free agency",7,2007,2013,4,0.57,"Pitcher"
"1931","Brian McCann",2010,"Atlanta Braves",143,5.7,6.102,3.6,"re-signinging",6,2007,2012,4,0.67,"Catcher"
"2161","Carl Crawford",2010,"Boston Red Sox",154,10,10.705,6.9,"free agency",7,2011,2017,0,0,"Leftfielder"
"2181","Carlos Beltran",2010,"New York Mets",64,19.402,20.769,0.7,"free agency",7,2005,2012,6,0.86,"Centerfielder"
"2305","Carlos Gonzalez",2010,"Colorado Rockies",145,0.406,0.435,5.9,"re-signinging",7,2011,2017,0,0,"Outfielder"
"2341","Carlos Lee",2010,"Houston Astros",157,19,20.34,-2,"free agency",6,2007,2013,4,0.67,"Leftfielder, First Baseman"
"2415","Carlos Zambrano",2010,"Chicago Cubs",36,18.875,20.206,2.8,"re-signinging",5,2007,2012,4,0.8,"Pitcher"
"2519","CC Sabathia",2010,"New York Yankees",34,24.286,25.998,4.6,"free agency",7,2009,2015,2,0.29,"Pitcher"
"2702","Chase Utley",2010,"Philadelphia Phillies",115,15.286,16.363,5.8,"re-signinging",7,2007,2014,4,0.57,"Second Baseman"
"2786","Chris Carpenter",2010,"St. Louis Cardinals",35,15.841,16.958,3.2,"re-signinging",5,2007,2011,4,0.8,"Pitcher"
"2866","Chris Young",2010,"Arizona Diamondbacks",156,3.45,3.693,5.5,"re-signinging",5,2008,2013,3,0.6,"Centerfielder"
"2882","Cliff Lee",2010,"Philadelphia Phillies",28,9,9.635,2.329,"free agency",5,2011,2015,0,0,"Pitcher"
"2962","Curtis Granderson",2010,"Detroit Tigers",136,5.5,5.888,4.5,"re-signinging",5,2008,2013,3,0.6,"Centerfielder"
"3010","Daisuke Matsuzaka",2010,"Boston Red Sox",25,8.333,8.921,1,"free agency",6,2007,2013,4,0.67,"Pitcher"
"3072","Dan Uggla",2010,"Atlanta Braves",159,7.8,8.35,4.2,"re-signinging",5,2011,2015,0,0,"Second Baseman"
